Industry,Title,Date,Location,Link
business--conferences,Webinar - Green surgery: reusable theatre hats and infection control,Going fast,"Wed, Feb 25, 3:00 PM GMT",https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/webinar-green-surgery-reusable-theatre-hats-and-infection-control-tickets-1975611536287?aff=ebdssbdestsearch
business--conferences,The 2026 Calgary Retirement Tax Symposium: Strategic Wealth Planning,Sales end soon,Saturday at 11:00 AM MST,https://www.eventbrite.comhttps://www.eventbrite.com/e/the-2026-calgary-retirement-tax-symposium-strategic-wealth-planning-tickets-1980019062316?aff=ebdssbdestsearch
business--conferences,EBA Open Forum on Digital Transformation,Going fast,"Wed, Feb 25, 8:45 AM GMT+1",https://www.eventbrite.comhttps://www.eventbrite.com/e/eba-open-forum-on-digital-transformation-tickets-1977312863001?aff=ebdssbdestsearch
business--conferences,Advocis Edmonton & Calgary A&S Session #1,"Thu, Feb 26, 10:00 AM MST",N/A,https://www.eventbrite.comhttps://www.eventbrite.ca/e/advocis-edmonton-calgary-as-session-1-tickets-1980120043353?aff=ebdssbdestsearch
business--conferences,Spring Forward 2026: Library Mixtape,"Mon, Mar 9, 1:00 PM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/spring-forward-2026-library-mixtape-registration-1964309422360?aff=ebdssbdestsearch
business--conferences,Evolving with Integrity: BAMBA’s Updated Professional Framework,Going fast,"Thu, Mar 12, 12:00 PM GMT",https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/evolving-with-integrity-bambas-updated-professional-framework-tickets-1981939465293?aff=ebdssbdestsearch
business--conferences,Elevate 2026 Virtual,"Tue, Mar 3, 9:00 AM PST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/elevate-2026-virtual-tickets-1364668242449?aff=ebdssbdestsearch
business--conferences,Where Are Markets Headed From Here? Spring 2026,"Sat, Mar 21, 7:00 AM PDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/where-are-markets-headed-from-here-spring-2026-tickets-1672193759549?aff=ebdssbdestsearch
business--conferences,Sixth Annual Managed Security Services Forum Toronto,Sales end soon,Thursday at 9:00 AM EST,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/sixth-annual-managed-security-services-forum-toronto-tickets-1977719002776?aff=ebdssbdestsearch
business--conferences,AIA International Spring Conference 2026: Shaping Place,"Thu, Mar 26, 6:30 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/aia-international-spring-conference-2026-shaping-place-tickets-1982529475028?aff=ebdssbdestsearch
business--conferences,IIUSA Webinar: Preparing for the EB-5 Grandfathering Deadline,"Wed, Mar 4, 12:00 PM EST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/iiusa-webinar-preparing-for-the-eb-5-grandfathering-deadline-tickets-1982296695779?aff=ebdssbdestsearch
business--conferences,The Leadership School Online Conference: Leader as Dancer,"Thu, Mar 12, 9:30 AM GMT",N/A,https://www.eventbrite.comhttps://www.eventbrite.co.uk/e/the-leadership-school-online-conference-leader-as-dancer-tickets-1980786145683?aff=ebdssbdestsearch
business--conferences,Heart of a True Leader Summit,"Fri, Feb 27, 10:00 AM PST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/heart-of-a-true-leader-summit-tickets-1975893092429?aff=ebdssbdestsearch
business--conferences,OCULL Annual Retreat,"Thu, Mar 5, 9:30 AM EST",N/A,https://www.eventbrite.comhttps://www.eventbrite.ca/e/ocull-annual-retreat-tickets-1949525486209?aff=ebdssbdestsearch
business--conferences,10 Point CPD Conference 2026,"Sun, Mar 29, 10:00 AM GMT+11",N/A,https://www.eventbrite.comhttps://www.eventbrite.com.au/e/10-point-cpd-conference-2026-tickets-1544058262829?aff=ebdssbdestsearch
business--conferences,PALS 2026 SUMMIT,"Thu, Feb 26, 6:30 PM EST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/pals-2026-summit-registration-1969888262822?aff=ebdssbdestsearch
business--conferences,Sourcing Sustainable and Ethical Materials,"Wed, Feb 25, 12:00 PM PST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/sourcing-sustainable-and-ethical-materials-tickets-1981438263184?aff=ebdssbdestsearch
business--conferences,2026 RIAND Spring Conference,"Wed, Mar 11, 8:30 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/2026-riand-spring-conference-tickets-1980650150919?aff=ebdssbdestsearch
business--conferences,Investing in a Feminist Future: A Virtual Career & Leadership Forum,"Tue, Mar 24, 11:30 AM EDT",N/A,https://www.eventbrite.comhttps://www.eventbrite.ca/e/investing-in-a-feminist-future-a-virtual-career-leadership-forum-tickets-342260709997?aff=ebdssbdestsearch
business--conferences,37 Angels - Pitch Forum Feb 20,Going fast,Friday at 1:00 PM EST,https://www.eventbrite.comhttps://www.eventbrite.com/e/37-angels-pitch-forum-feb-20-tickets-1972250135246?aff=ebdssbdestsearch
business--conferences,Les fondamentaux des contrats commerciaux (BtoB),Going fast,"Tue, Feb 24, 10:00 AM GMT+1",https://www.eventbrite.comhttps://www.eventbrite.fr/e/les-fondamentaux-des-contrats-commerciaux-btob-tickets-1980108042458?aff=ebdssbdestsearch
business--conferences,IIPA's Annual Symposium,N/A,N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/iipas-annual-symposium-tickets-1972045766975?aff=ebdssbdestsearch
business--conferences,"February 2026 VC Fast Pitch. Pitch, Connect, Fund!","Thu, Feb 26, 1:00 PM EST",N/A,https://www.eventbrite.comhttps://www.eventbrite.com/e/february-2026-vc-fast-pitch-pitch-connect-fund-tickets-1980308428819?aff=ebdssbdestsearch
